days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
214	24-Aug	7996027	7976146	19775	9	4058	33	14165	8	1093	13	2981	0	598	3	1071	6	3540	34	4129		
215	25-Aug	7994768	7975008	19607	18	4076	46	14211	4	1097	9	2990	0	598	4	1075	15	3555	57	4186		
216	26-Aug	7994041	7973931	19953	24	4100	37	14248	6	1103	12	3002	0	598	10	1085	14	3569	54	4240		
217	27-Aug	7993094	7972882	20089	21	4121	28	14276	7	1110	4	3006	0	598	8	1093	13	3582	42	4282		
218	28-Aug	7992443	7971843	20471	13	4134	43	14319	3	1113	6	3012	0	598	4	1097	9	3591	51	4333		
219	29-Aug	7991317	7970594	20616	18	4152	19	14338	6	1119	5	3017	0	598	6	1103	12	3603	41	4374		
220	30-Aug	7991510	7970013	21407	15	4167	22	14360	0	1119	8	3025	0	598	7	1110	4	3607	34	4408		
221	31-Aug	7991066	7969046	21956	9	4176	16	14376	3	1122	4	3029	0	598	3	1113	6	3613	23	4431		
222	1-Sep	7989691	7967381	22216	12	4188	20	14396	6	1128	4	3033	2	600	6	1119	5	3618	39	4470		
223	2-Sep	7988938	7965656	23216	8	4196	19	14415	2	1130	5	3038	0	600	0	1119	8	3626	24	4494		
224	3-Sep	7988279	7964641	23551	8	4204	20	14435	12	1142	8	3046	1	601	3	1122	4	3630	31	4525		
225	4-Sep	7988175	7963814	24270	10	4214	33	14468	5	1147	6	3052	0	601	6	1128	6	3636	25	4550		
226	5-Sep	7988106	7962273	25755	7	4221	20	14488	4	1151	1	3053	1	602	2	1130	5	3641	38	4588		
227	6-Sep	7990129	7961801	28233	20	4241	28	14516	3	1154	3	3056	0	602	12	1142	9	3650	20	4608		
228	7-Sep	7990975	7961378	29526	11	4252	23	14539	8	1162	4	3060	0	602	5	1147	6	3656	14	4622		
229	8-Sep	7992474	7960159	32253	5	4257	19	14558	10	1172	1	3061	1	603	4	1151	2	3658	20	4642		
230	9-Sep	7993913	7959389	34465	6	4263	20	14578	4	1176	8	3069	1	604	3	1154	3	3661	14	4656		
231	10-Sep	7994169	7958666	35409	12	4275	26	14604	10	1186	7	3076	2	606	8	1162	4	3665	25	4681		
232	11-Sep	7994615	7958265	36278	11	4286	19	14623	3	1189	9	3085	2	608	10	1172	2	3667	16	4697		
233	12-Sep	7995255	7957706	37482	12	4298	22	14645	4	1193	0	3085	0	608	4	1176	9	3676	16	4713		
234	13-Sep	7998568	7958067	40403	17	4315	36	14681	6	1199	3	3088	0	608	10	1186	9	3685	17	4730		
235	14-Sep	8000519	7958711	41748	12	4327	19	14700	3	1202	5	3093	1	609	3	1189	11	3696	6	4736		
236	15-Sep	8001299	7958080	43196	4	4331	0	14700	0	1202	2	3095	1	610	4	1193	0	3696	12	4748		
237	16-Sep	8000759	7957277	43434	9	4340	0	14700	10	1212	3	3098	0	610	6	1199	3	3699	17	4765		
238	17-Sep	8000558	7957202	43276	8	4348	20	14720	22	1234	0	3098	1	611	3	1202	6	3705	20	4785		
239	18-Sep	8000537	7957604	42908	2	4350	0	14720	4	1238	1	3099	1	612	0	1202	3	3708	14	4799		
240	19-Sep	8001377	7958217	43090	13	4363	24	14744	7	1245	1	3100	0	612	10	1212	3	3711	12	4811		
241	20-Sep	8003656	7960631	42973	22	4385	0	14744	1	1246	2	3102	0	612	22	1234	1	3712	4	4815		
242	21-Sep	8004632	7961738	42852	5	4390	19	14763	4	1250	3	3105	0	612	4	1238	2	3714	5	4820		
